                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3377,                  4.906,                 2.3175,                0.05525,                0.35376,                0.06827,                0.03685,                 1.3251,                 4.8692,                 1.5698,              7.644e-05,              7.644e-05,              7.644e-05
                      2,                0.86599,                 2.2992,                 1.2238,                0.51894,                0.55503,                0.48837,                 0.3616,                0.88754,                  3.758,                 1.4446,             0.00015562,             0.00015562,             0.00015562
                      3,                0.58319,                 1.3365,                 1.0171,                0.58527,                0.73142,                 0.6755,                0.58152,                0.55875,                 1.8044,                 1.0834,             0.00023153,             0.00023153,             0.00023153
                      4,                0.50617,                0.99823,                 0.9749,                0.74988,                0.84902,                0.82779,                0.74773,                0.44334,                0.91317,                0.96168,             0.00030419,             0.00030419,             0.00030419
                      5,                0.54169,                0.93241,                0.99127,                0.75033,                0.81549,                0.84522,                0.75078,                 0.4934,                0.85067,                0.98638,             0.00037359,             0.00037359,             0.00037359
                      6,                0.55633,                0.90785,                0.98026,                0.69401,                0.75721,                0.81499,                0.71531,                0.51407,                0.95592,                0.99432,             0.00043972,             0.00043972,             0.00043972
                      7,                 0.5361,                0.91397,                0.96904,                0.73604,                0.78776,                0.84436,                0.75989,                0.49679,                0.88785,                0.96154,              0.0005026,              0.0005026,              0.0005026
                      8,                0.57601,                0.82908,                0.98451,                0.94754,                0.77122,                 0.9147,                0.81321,                0.48319,                 0.8537,                0.94979,              0.0005065,              0.0005065,              0.0005065
                      9,                0.57405,                0.79856,                0.97533,                0.86893,                0.87191,                0.89697,                0.76896,                 0.5853,                0.64835,                 1.1365,              0.0005065,              0.0005065,              0.0005065
                     10,                 0.5367,                0.72618,                0.98318,                0.93397,                 0.9092,                0.96072,                0.88819,                0.43091,                0.56517,                 0.9247,             0.00049486,             0.00049486,             0.00049486
                     11,                0.50638,                0.70326,                0.94504,                0.92854,                0.95913,                0.97787,                0.89756,                0.43616,                0.53479,                 0.9163,             0.00048322,             0.00048322,             0.00048322
                     12,                0.52593,                0.73039,                 0.9428,                0.93873,                0.97217,                0.98335,                0.89048,                0.43887,                0.46365,                0.92902,             0.00047158,             0.00047158,             0.00047158
                     13,                0.51459,                0.63726,                0.95059,                0.94217,                 0.9515,                0.97197,                0.89351,                0.42544,                0.47621,                0.92278,             0.00045993,             0.00045993,             0.00045993
                     14,                0.48794,                0.60422,                0.93618,                0.88338,                0.94139,                0.96405,                0.87917,                0.41005,                0.51854,                0.89551,             0.00044829,             0.00044829,             0.00044829
                     15,                0.46457,                0.56634,                0.93607,                0.90068,                0.95729,                0.97422,                0.89321,                0.40215,                0.46226,                0.90243,             0.00043665,             0.00043665,             0.00043665
                     16,                0.48599,                0.58902,                0.92914,                0.87533,                0.94919,                 0.9693,                0.86801,                0.42937,                 0.5827,                 0.9354,             0.00042501,             0.00042501,             0.00042501
                     17,                0.45869,                0.55246,                0.92703,                0.90479,                0.93554,                0.96332,                0.89057,                0.39381,                0.47856,                 0.9031,             0.00041336,             0.00041336,             0.00041336
                     18,                0.44646,                0.54195,                0.92155,                0.95923,                0.94614,                0.97049,                0.90082,                0.37642,                0.37476,                0.89105,             0.00040172,             0.00040172,             0.00040172
                     19,                0.42725,                0.49085,                0.90222,                0.95148,                0.96372,                0.97012,                0.90401,                0.36978,                0.36392,                0.88747,             0.00039008,             0.00039008,             0.00039008
                     20,                0.45401,                0.53002,                0.92006,                0.92649,                0.97497,                0.97098,                0.88316,                0.40708,                0.38359,                0.91611,             0.00037844,             0.00037844,             0.00037844
                     21,                0.44849,                0.49192,                0.89888,                0.94612,                0.95645,                0.97614,                0.89806,                0.40392,                 0.3894,                0.91673,             0.00036679,             0.00036679,             0.00036679
                     22,                0.43258,                0.52154,                0.91081,                0.98882,                 0.9448,                0.98152,                0.92423,                0.36122,                0.35819,                0.88471,             0.00035515,             0.00035515,             0.00035515
                     23,                0.44183,                 0.5006,                0.92228,                0.97867,                0.96138,                 0.9819,                0.91032,                0.37694,                0.35014,                0.89726,             0.00034351,             0.00034351,             0.00034351
                     24,                0.43238,                0.47183,                0.90836,                0.98201,                0.97598,                0.98685,                0.91805,                0.36335,                0.34708,                0.90477,             0.00033187,             0.00033187,             0.00033187
                     25,                0.43456,                0.46448,                0.91776,                0.95711,                0.97541,                0.98487,                0.90603,                0.36609,                0.33647,                0.90211,             0.00032022,             0.00032022,             0.00032022
                     26,                0.43613,                0.45342,                0.91252,                0.96204,                0.97897,                0.97375,                0.91266,                0.35764,                0.32656,                0.88718,             0.00030858,             0.00030858,             0.00030858
                     27,                0.43108,                0.42467,                0.91095,                0.95299,                0.97877,                0.98386,                0.91976,                 0.3557,                0.32545,                0.88181,             0.00029694,             0.00029694,             0.00029694
                     28,                0.44033,                 0.4482,                0.91344,                 0.9177,                0.96202,                0.98102,                0.92025,                0.35336,                0.34571,                0.88351,              0.0002853,              0.0002853,              0.0002853
                     29,                0.41844,                0.45821,                0.89344,                0.96722,                0.98277,                 0.9864,                0.91866,                0.36228,                0.30173,                0.87556,             0.00027366,             0.00027366,             0.00027366
                     30,                0.40423,                 0.4234,                0.89087,                0.96699,                0.98141,                0.98605,                0.91075,                0.38025,                0.32071,                0.88625,             0.00026201,             0.00026201,             0.00026201
                     31,                0.41213,                0.43062,                0.88784,                0.97656,                0.95787,                0.98652,                0.91521,                0.36638,                0.31474,                0.87725,             0.00025037,             0.00025037,             0.00025037
                     32,                0.42051,                0.42785,                0.90729,                0.98227,                0.96487,                0.98763,                0.91989,                0.34774,                0.29367,                0.86678,             0.00023873,             0.00023873,             0.00023873
                     33,                0.40863,                0.42064,                0.88393,                0.97994,                0.98316,                0.98755,                0.93479,                0.33527,                0.27343,                0.86615,             0.00022709,             0.00022709,             0.00022709
                     34,                0.38747,                0.38381,                0.88659,                0.99131,                0.98284,                0.98808,                0.93182,                0.33032,                0.26401,                0.86476,             0.00021544,             0.00021544,             0.00021544
                     35,                0.38551,                0.38297,                 0.8825,                0.98334,                0.97825,                0.97753,                0.92865,                0.32258,                 0.2664,                0.86304,              0.0002038,              0.0002038,              0.0002038
                     36,                 0.3846,                0.36402,                0.87741,                0.98347,                0.96605,                0.97668,                0.92945,                0.31772,                0.27194,                0.86508,             0.00019216,             0.00019216,             0.00019216
                     37,                 0.3899,                0.38227,                0.88146,                0.97795,                0.97318,                0.98356,                0.93248,                 0.3179,                0.27302,                0.85954,             0.00018052,             0.00018052,             0.00018052
                     38,                0.37265,                0.35388,                0.87895,                0.98495,                0.96851,                0.98384,                0.93831,                0.31435,                0.25116,                0.85134,             0.00016887,             0.00016887,             0.00016887
                     39,                 0.3678,                0.34461,                0.86492,                0.97872,                0.97904,                0.98357,                 0.9403,                0.31541,                0.24329,                0.85068,             0.00015723,             0.00015723,             0.00015723
                     40,                 0.3779,                 0.3584,                0.87705,                0.97532,                0.98149,                0.98925,                0.93934,                 0.3227,                0.24778,                0.85378,             0.00014559,             0.00014559,             0.00014559
                     41,                0.37216,                0.33618,                0.87249,                0.97509,                0.97781,                0.98602,                0.94078,                0.31965,                0.25741,                0.85711,             0.00013395,             0.00013395,             0.00013395
                     42,                0.34783,                0.32499,                0.87986,                0.98361,                0.98299,                0.98787,                0.94804,                0.31117,                0.24313,                0.85032,              0.0001223,              0.0001223,              0.0001223
                     43,                0.34257,                0.30071,                0.86149,                0.98856,                0.97958,                 0.9875,                0.94567,                0.31147,                0.23912,                0.84899,             0.00011066,             0.00011066,             0.00011066
                     44,                0.34055,                0.30111,                0.87656,                0.99403,                0.97557,                0.98762,                0.94888,                0.31064,                0.23767,                0.84948,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     45,                0.34555,                0.30078,                0.86092,                0.98711,                0.98598,                0.98761,                0.94565,                0.30188,                0.22941,                0.84895,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     46,                0.34834,                0.30685,                0.85458,                0.99303,                0.98598,                0.98759,                0.94692,                0.29752,                0.22928,                0.84751,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     47,                0.33734,                0.28681,                0.85609,                0.99215,                0.98761,                0.98759,                0.94765,                0.29532,                0.22727,                0.84592,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     48,                0.33166,                0.28476,                0.85604,                0.98665,                0.98756,                0.98748,                0.95043,                0.29332,                0.22436,                0.84543,              5.245e-05,              5.245e-05,              5.245e-05
                     49,                0.34059,                0.28855,                0.86094,                0.98603,                0.98759,                 0.9875,                0.94921,                0.29114,                0.22273,                 0.8434,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     50,                0.32455,                0.27555,                0.87181,                0.98804,                0.98629,                0.98753,                0.94975,                0.28852,                 0.2165,                 0.8424,             2.9165e-05,             2.9165e-05,             2.9165e-05
